COD,TIPO_CLIENTE,TIPO_EMPRESTIMO,CD_SEXO,IDADE,QTD_DIVIDAS,TEMP_RECUPERACAO
324,INVESTIDOR,PESSOAL,F,36,15,23
325,NOVO,RENEGOCIAÇÃO,M,25,5,8
326,NOVO,CDC,M,34,9,
327,NOVO,CDC,M,33,8,47
328,NOVO,PESSOAL,M,29,13,
329,NOVO,CDC,M,33,3,
330,TOMADOR,CDC,M,53,1,15
331,TOMADOR,CDC,F,40,0,2
332,NOVO,CDC,F,33,4,
333,NOVO,RENEGOCIAÇÃO,F,30,12,
334,NOVO,CDC,M,33,0,2
335,INVESTIDOR,RENEGOCIAÇÃO,M,84,0,3
336,NOVO,PESSOAL,M,25,0,15
337,INVESTIDOR,CDC,M,26,0,6
338,NOVO,CDC,F,41,8,55
339,INVESTIDOR,CDC,F,29,0,26
340,TOMADOR,CDC,,45,16,
341,INVESTIDOR,RENEGOCIAÇÃO,M,47,0,190
342,TOMADOR,RENEGOCIAÇÃO,M,35,0,3
343,INVESTIDOR,CDC,F,40,1,12
344,NOVO,CDC,F,57,16,
345,NOVO,RENEGOCIAÇÃO,,61,3,19
346,NOVO,PESSOAL,M,33,16,
347,NOVO,RENEGOCIAÇÃO,F,30,0,18
348,NOVO,CDC,F,51,7,
349,INVESTIDOR,RENEGOCIAÇÃO,M,46,0,5
350,NOVO,CDC,M,,0,
351,NOVO,PESSOAL,M,27,4,
352,INVESTIDOR,CDC,M,51,0,2
353,INVESTIDOR,CDC,M,30,0,7
354,INVESTIDOR,CDC,F,61,0,23
355,TOMADOR,RENEGOCIAÇÃO,F,29,16,
356,NOVO,CDC,F,32,16,
357,INVESTIDOR,CDC,F,37,2,18
358,NOVO,CDC,F,33,7,4
359,NOVO,PESSOAL,F,21,0,
360,NOVO,RENEGOCIAÇÃO,M,61,0,37
361,NOVO,RENEGOCIAÇÃO,F,20,0,13
362,NOVO,CDC,M,26,0,4
363,NOVO,CDC,M,,8,4
364,NOVO,RENEGOCIAÇÃO,I,33,5,57
365,NOVO,CDC,F,32,12,
366,NOVO,PESSOAL,F,36,16,
367,NOVO,CDC,,26,0,
368,TOMADOR,CDC,M,41,0,
369,NOVO,CDC,M,40,0,2
370,NOVO,CDC,F,49,0,5
371,TOMADOR,PESSOAL,F,45,0,
372,NOVO,PESSOAL,F,27,6,
373,NOVO,CDC,F,36,0,45
374,NOVO,CDC,M,32,16,
375,NOVO,CDC,F,,10,
376,TOMADOR,RENEGOCIAÇÃO,I,24,0,16
377,INVESTIDOR,CDC,F,,0,13
378,NOVO,RENEGOCIAÇÃO,M,38,16,
379,NOVO,RENEGOCIAÇÃO,M,55,3,23
380,INVESTIDOR,CDC,M,42,0,
381,TOMADOR,CDC,,44,16,
382,NOVO,RENEGOCIAÇÃO,M,,16,
383,NOVO,PESSOAL,M,44,16,
384,INVESTIDOR,PESSOAL,M,57,0,8
385,NOVO,CDC,F,49,16,
386,TOMADOR,CDC,M,30,0,22
387,NOVO,PESSOAL,M,31,12,
388,INVESTIDOR,CDC,M,34,0,7
389,NOVO,RENEGOCIAÇÃO,F,34,0,8
390,INVESTIDOR,RENEGOCIAÇÃO,M,37,8,
391,NOVO,PESSOAL,M,45,3,114
392,NOVO,CDC,M,56,3,14
393,TOMADOR,CDC,F,51,16,
394,INVESTIDOR,RENEGOCIAÇÃO,F,37,0,8
395,NOVO,CDC,F,52,7,
396,NOVO,RENEGOCIAÇÃO,F,,14,
397,NOVO,CDC,M,34,3,72
398,NOVO,CDC,M,60,0,7
399,NOVO,CDC,M,40,0,132
400,NOVO,CDC,,33,7,5
401,INVESTIDOR,CDC,F,,0,77
402,NOVO,CDC,M,53,11,
403,INVESTIDOR,RENEGOCIAÇÃO,M,31,1,20
404,NOVO,RENEGOCIAÇÃO,F,49,0,11
405,NOVO,CDC,F,,0,19
406,NOVO,CDC,F,28,2,
407,NOVO,PESSOAL,,,3,41
408,TOMADOR,CDC,M,28,10,
409,TOMADOR,CDC,,45,16,
410,NOVO,PESSOAL,M,25,0,10
411,NOVO,CDC,F,40,1,9
412,NOVO,PESSOAL,M,57,16,
413,INVESTIDOR,CDC,F,69,0,
414,INVESTIDOR,CDC,F,53,0,
415,NOVO,CDC,M,53,0,7
416,NOVO,RENEGOCIAÇÃO,M,48,0,16
417,NOVO,CDC,M,33,9,
418,INVESTIDOR,RENEGOCIAÇÃO,M,54,0,309
419,NOVO,CDC,F,59,16,
420,INVESTIDOR,CDC,M,28,2,11
421,NOVO,PESSOAL,M,41,0,402
422,TOMADOR,CDC,M,26,16,
423,NOVO,CDC,F,27,0,12
424,NOVO,CDC,F,47,0,3
425,NOVO,CDC,M,35,0,35
426,INVESTIDOR,RENEGOCIAÇÃO,F,29,1,7
427,INVESTIDOR,CDC,F,56,4,7
428,NOVO,RENEGOCIAÇÃO,,35,16,
429,NOVO,CDC,,36,0,
430,TOMADOR,RENEGOCIAÇÃO,F,52,8,
431,INVESTIDOR,CDC,M,55,0,19
432,NOVO,PESSOAL,F,53,0,5
433,NOVO,RENEGOCIAÇÃO,F,36,2,51
434,INVESTIDOR,CDC,F,42,0,7
435,NOVO,CDC,F,48,4,46
436,TOMADOR,CDC,M,27,0,6
437,NOVO,RENEGOCIAÇÃO,F,39,3,34
438,NOVO,CDC,M,27,0,6
439,TOMADOR,CDC,F,,4,
440,INVESTIDOR,RENEGOCIAÇÃO,F,41,16,
441,TOMADOR,RENEGOCIAÇÃO,F,33,11,19
442,TOMADOR,PESSOAL,,37,16,
443,NOVO,CDC,,26,0,145
444,NOVO,PESSOAL,,41,7,
445,NOVO,CDC,I,22,11,
446,INVESTIDOR,CDC,M,37,1,20
447,INVESTIDOR,CDC,M,41,0,5
448,NOVO,PESSOAL,F,19,0,101
449,INVESTIDOR,CDC,M,35,7,
450,NOVO,CDC,F,46,16,
451,NOVO,CDC,F,31,2,
452,NOVO,CDC,F,34,16,
453,TOMADOR,CDC,M,33,0,
454,INVESTIDOR,CDC,F,28,0,8
455,NOVO,PESSOAL,F,36,3,8
456,NOVO,PESSOAL,M,19,10,
457,NOVO,PESSOAL,M,,3,12
458,TOMADOR,CDC,M,31,0,24
459,NOVO,PESSOAL,,36,9,9
460,NOVO,PESSOAL,M,44,16,
461,NOVO,CDC,M,42,0,
462,NOVO,RENEGOCIAÇÃO,M,23,1,6
463,NOVO,CDC,,62,13,
464,NOVO,CDC,,69,12,
465,NOVO,PESSOAL,M,34,10,23
466,NOVO,PESSOAL,F,32,15,188
467,NOVO,CDC,M,30,8,
468,NOVO,CDC,M,41,15,
469,NOVO,CDC,M,29,16,
470,NOVO,CDC,M,36,5,
471,NOVO,RENEGOCIAÇÃO,M,25,16,
472,NOVO,CDC,M,42,8,
473,NOVO,CDC,M,,16,
474,NOVO,CDC,,37,0,10
475,INVESTIDOR,RENEGOCIAÇÃO,M,41,0,6
476,NOVO,PESSOAL,M,51,0,
477,NOVO,CDC,M,,1,4
478,NOVO,CDC,M,28,1,9
479,NOVO,RENEGOCIAÇÃO,F,24,0,7
480,NOVO,CDC,M,40,0,10
481,NOVO,CDC,,44,0,22
482,NOVO,CDC,M,48,0,40
483,NOVO,CDC,F,51,5,2
484,NOVO,CDC,F,59,2,
485,INVESTIDOR,RENEGOCIAÇÃO,M,50,0,29
486,INVESTIDOR,CDC,M,52,0,39
